"Time","SpineBase","SpineMid","Neck","Head","ShoulderLeft","ElbowLeft","WristLeft","HandLeft","ShoulderRight","ElbowRight","WristRight","HandRight","HipLeft","KneeLeft","AnkleLeft","FootLeft","HipRight","KneeRight","AnkleRight","FootRight","SpineShoulder","HandTipLeft","ThumbLeft","HandTipRight","ThumbRight"
"267484258070","-0.126186","-0.124964","-0.123481","-0.125193","-0.288851","-0.401680","-0.351873","-0.348315","0.030622","0.106803","0.062953","0.036360","-0.197705","-0.272949","-0.209151","-0.198605","-0.053060","0.043324","-0.032871","0.016252","-0.123902","-0.291439","-0.330652","0.045722","0.082760"
"267484258070","-0.165524","0.068529","0.299758","0.428215","0.202467","0.016414","-0.101263","-0.129100","0.201601","-0.016076","-0.157025","-0.179803","-0.164274","-0.257922","-0.637529","-0.717346","-0.164667","-0.313827","-0.637506","-0.694475","0.242348","-0.161496","-0.110780","-0.224534","-0.161105"
"267484258070","4.470212","4.448458","4.417173","4.386426","4.416555","4.430022","4.275403","4.248764","4.432269","4.477002","4.251928","4.168457","4.441716","4.122817","4.136808","4.074895","4.441779","4.150206","4.164189","4.089790","4.426816","4.157055","4.242800","4.113120","4.145166"
"267484916863","-0.128891","-0.124936","-0.116563","-0.114732","-0.279633","-0.421307","-0.344547","-0.344000","0.040184","0.140066","0.077695","0.026617","-0.200378","-0.263875","-0.209228","-0.215716","-0.055806","0.038525","-0.027855","0.018392","-0.118849","-0.320393","-0.311658","0.012927","0.057725"
"267484916863","-0.184136","0.056431","0.277960","0.399980","0.205917","0.027309","-0.122296","-0.138217","0.195005","-0.003968","-0.126788","-0.167514","-0.180959","-0.261953","-0.634980","-0.707819","-0.184960","-0.243459","-0.635788","-0.701114","0.222938","-0.171044","-0.121759","-0.197463","-0.175040"
"267484916863","4.502409","4.443148","4.355834","4.321981","4.356533","4.380246","4.269976","4.248196","4.362586","4.445758","4.285448","4.195529","4.471884","4.115565","4.134820","4.062902","4.475175","4.154714","4.169409","4.110081","4.382684","4.160671","4.225000","4.146193","4.143272"
"267485256001","-0.128981","-0.122950","-0.113344","-0.112774","-0.280211","-0.423757","-0.349480","-0.339671","0.042269","0.150397","0.107395","0.035991","-0.200440","-0.263899","-0.207883","-0.218283","-0.055908","0.038681","-0.027576","0.016901","-0.115587","-0.282015","-0.299070","0.011778","0.072967"
"267485256001","-0.183409","0.051619","0.273374","0.390798","0.201507","0.028591","-0.121964","-0.129608","0.192615","-0.007319","-0.162016","-0.171640","-0.180421","-0.261952","-0.633681","-0.706547","-0.184093","-0.243278","-0.636056","-0.700880","0.217710","-0.141271","-0.116356","-0.202803","-0.174162"
"267485256001","4.505325","4.431561","4.324205","4.284976","4.322837","4.378047","4.264671","4.248521","4.351254","4.414222","4.290430","4.187202","4.473166","4.115622","4.134573","4.064430","4.480348","4.154407","4.170472","4.108768","4.352387","4.201315","4.237166","4.133983","4.157667"
"267485585995","-0.125930","-0.117035","-0.111555","-0.107343","-0.275434","-0.432087","-0.344435","-0.323496","0.054091","0.167074","0.104530","0.091534","-0.197156","-0.264782","-0.208465","-0.214961","-0.053003","0.040922","-0.032260","0.016939","-0.112972","-0.288360","-0.268483","0.087417","0.112183"
"267485585995","-0.182946","0.042770","0.263633","0.386222","0.198941","0.027568","-0.130927","-0.135022","0.184558","0.003572","-0.159440","-0.162997","-0.179423","-0.263962","-0.631616","-0.708554","-0.184038","-0.246503","-0.635763","-0.700008","0.208872","-0.152461","-0.140335","-0.178007","-0.169434"
"267485585995","4.499318","4.395439","4.286128","4.233759","4.298506","4.348936","4.257671","4.221304","4.300193","4.390149","4.286489","4.231991","4.465227","4.113786","4.135168","4.066492","4.475484","4.143178","4.168655","4.105703","4.315848","4.168407","4.186286","4.187927","4.259500"
"267485916197","-0.126043","-0.115914","-0.106244","-0.106999","-0.273607","-0.435906","-0.353389","-0.340804","0.056350","0.163931","0.077032","0.032504","-0.197857","-0.267842","-0.209024","-0.213806","-0.052508","0.042542","-0.032708","0.013273","-0.108730","-0.314825","-0.281961","0.001631","0.077516"
"267485916197","-0.191591","0.035087","0.257717","0.378953","0.198891","0.043632","-0.126497","-0.133870","0.181512","0.011013","-0.136192","-0.171698","-0.186357","-0.260137","-0.629143","-0.709038","-0.194478","-0.248511","-0.636047","-0.700627","0.202338","-0.159004","-0.142580","-0.215207","-0.171724"
"267485916197","4.477723","4.374085","4.259111","4.208847","4.264319","4.314388","4.246082","4.211823","4.280411","4.360796","4.239469","4.179192","4.445448","4.111950","4.132656","4.071774","4.451797","4.139797","4.168246","4.103247","4.289621","4.141591","4.156500","4.134115","4.146801"
"267486257698","-0.132077","-0.119345","-0.106938","-0.104611","-0.272240","-0.438503","-0.353162","-0.334174","0.059128","0.169610","0.076982","0.026166","-0.204601","-0.267649","-0.207188","-0.204780","-0.057886","0.045013","-0.034166","0.015323","-0.110201","-0.320226","-0.300830","-0.004028","0.049690"
"267486257698","-0.165887","0.045671","0.254423","0.374302","0.204480","0.047739","-0.123673","-0.135482","0.184996","0.022432","-0.135857","-0.174866","-0.159297","-0.261146","-0.631297","-0.696837","-0.170217","-0.248981","-0.635552","-0.701033","0.203261","-0.162227","-0.124760","-0.226542","-0.172848"
"267486257698","4.462160","4.347775","4.212738","4.163094","4.228067","4.301513","4.240119","4.207636","4.243701","4.342059","4.237484","4.169538","4.427089","4.108887","4.131830","4.023901","4.439031","4.131297","4.165275","4.108066","4.249654","4.151933","4.194917","4.134835","4.134833"
"267486916894","-0.135563","-0.116988","-0.097720","-0.099080","-0.258653","-0.434230","-0.347599","-0.313366","0.060238","0.179625","0.104085","0.054777","-0.208473","-0.264918","-0.206455","-0.203743","-0.060838","0.046270","-0.030932","0.004517","-0.102732","-0.292955","-0.261847","0.012914","0.088716"
"267486916894","-0.141154","0.063274","0.266132","0.396058","0.223489","0.059785","-0.116687","-0.135855","0.196230","0.046654","-0.131571","-0.149319","-0.133404","-0.258518","-0.631045","-0.701196","-0.146949","-0.243271","-0.635649","-0.714557","0.215909","-0.163743","-0.127485","-0.203781","-0.180550"
"267486916894","4.447925","4.319205","4.175919","4.119456","4.170837","4.252714","4.212396","4.170402","4.193172","4.296009","4.241733","4.184048","4.412990","4.095229","4.131313","4.024632","4.424978","4.117192","4.162388","4.116156","4.214097","4.119381","4.174375","4.131046","4.141601"
"267487256007","-0.136419","-0.117440","-0.098081","-0.095299","-0.259225","-0.428947","-0.345001","-0.289501","0.062728","0.179645","0.095448","0.050282","-0.207615","-0.263468","-0.208031","-0.208865","-0.063981","0.045682","-0.030943","0.000722","-0.102980","-0.259839","-0.245927","0.063725","0.074969"
"267487256007","-0.125901","0.081380","0.284467","0.419037","0.227890","0.068388","-0.111582","-0.140624","0.226143","0.050545","-0.127381","-0.139748","-0.122142","-0.257002","-0.622476","-0.694559","-0.127400","-0.240690","-0.632948","-0.714756","0.234255","-0.195459","-0.133043","-0.175739","-0.153072"
"267487256007","4.433882","4.295077","4.146434","4.090920","4.162421","4.228709","4.194272","4.143165","4.156584","4.273265","4.229117","4.166271","4.403077","4.090433","4.127054","4.020784","4.406160","4.110806","4.159799","4.115843","4.185347","4.076535","4.154167","4.134558","4.132000"
